feature,mean_abs_shap
spread_std_roll_min_3,0.0006975673222110144
ofi_std_roll_min_10,0.000693926239125288
mid_open_roll_std_10,0.0006930247214353062
n_full_deletion_lag_5,0.0006925241154618676
ofi_sum_roll_max_30,0.0006880964856849892
imbalance_1_mean_roll_std_15,0.0006856914683930167
ofi_sum_lag_2,0.0006855165266382365
ofi_sum_lag_15,0.000685041463967122
imbalance_3_mean_roll_std_30,0.0006781312985031972
event_size_total_roll_std_5,0.0006756266103576877
n_execution_roll_mean_5,0.0006749794745773663
ofi_mean_roll_max_15,0.000670324787566397
n_partial_cancel_roll_mean_30,0.0006694727762375766
spread_mean_roll_mean_5,0.0006680830105558501
mid_return_1m_roll_std_30,0.0006662538644426436
n_execution_roll_mean_10,0.0006658828033576724
price_change_lag_2,0.000663695166627857
trade_volume_roll_min_3,0.0006593381799208781
relative_spread_mean_roll_min_30,0.0006581517286313114
trade_volume_roll_min_10,0.0006578224438223004
n_partial_cancel_lag_10,0.0006547688187014469
n_new_order_roll_mean_30,0.0006495072469073884
n_execution_roll_std_15,0.000648160264797498
depth_imbalance_roll_std_3,0.0006480935475541703
imbalance_3_mean_lag_15,0.0006470273407478174
execution_ratio_roll_min_30,0.000642365450508114
relative_spread_mean_roll_mean_3,0.000639195378506591
execution_ratio_lag_15,0.0006276532983144539
mid_log_return_1m_lag_5,0.0006223574010528877
imbalance_5_mean_roll_std_15,0.0006143434062107471
mid_return_1m_lag_15,0.0006109286330495783
mid_close,0.0006024223981185209
mid_open,0.0006004569786991636
imbalance_3_mean_roll_std_15,0.0006003444946310625
event_size_total_roll_max_30,0.000595387861982078
imbalance_1_mean_lag_15,0.0005934692136820182
n_execution_lag_5,0.0005885836097900629
depth_imbalance_roll_min_5,0.0005885285393785862
ofi_std_roll_std_3,0.0005838544608978177
ofi_sum_roll_min_30,0.0005791494328643832
ofi_mean_roll_std_15,0.0005772107868609367
price_change_roll_std_30,0.0005769692589797477
ask_depth_mean_roll_max_3,0.0005755708467062046
mid_mean_lag_30,0.0005688130816886081
n_full_deletion_roll_max_3,0.0005680588706618586
trade_volume_lag_3,0.0005657096941133085
bid_depth_mean_roll_min_10,0.0005639049420945457
spread_mean_roll_std_30,0.0005637967828052121
ofi_mean_roll_max_30,0.0005612850591865714
spread_max_lag_3,0.0005514824172171769
ask_depth_mean_roll_mean_10,0.0005492063628461245
spread_std_roll_std_15,0.0005465708400801734
ofi_sum_lag_3,0.00054406243926173
spread_std_roll_max_5,0.0005439561675288591
price_change_lag_3,0.000538539869261729
spread_std_roll_mean_5,0.0005372453930915655
imbalance_10_mean_roll_min_5,0.0005351506918710286
ask_depth_mean_roll_max_30,0.0005322005109220045
price_change_lag_1,0.0005307223295680201
imbalance_3_mean_lag_5,0.0005285301080166717
depth_imbalance_roll_mean_3,0.0005282656494121352
spread_std_roll_max_15,0.000522152549562977
mid_log_return_1m_lag_30,0.0005165654248300064
n_new_order_roll_min_30,0.0005126910436476556
price_change_lag_15,0.0005101872715439658
depth_imbalance_lag_3,0.000505302027357572
execution_ratio_roll_max_15,0.0005047884732486264
event_count_roll_std_5,0.0005039603510100251
execution_ratio_roll_std_10,0.0004978816877065063
spread_std_lag_15,0.0004978512236241344
relative_spread_mean_roll_max_15,0.0004976711927881757
price_change_roll_min_5,0.0004976637442218941
n_partial_cancel_roll_min_15,0.0004944503364911567
n_partial_cancel_roll_mean_10,0.0004902082725482604
bid_depth_mean_lag_3,0.0004879650237410095
n_full_deletion_roll_min_5,0.00048653415910910344
event_count_roll_mean_10,0.0004857589907842565
spread_mean_roll_min_10,0.0004825199472064132
imbalance_10_mean_roll_min_30,0.0004758158052798127
mid_open_roll_std_5,0.0004758054535857198
mid_mean_roll_min_5,0.0004700708850630929
imbalance_5_mean_roll_max_30,0.00046725008301727334
event_count_roll_min_3,0.00046666752685467245
ask_depth_mean_lag_2,0.00046429222980572967
mid_open_lag_30,0.00045398532098754157
spread_max_roll_max_30,0.0004531868114275835
event_size_total_roll_mean_15,0.00044893416499560307
relative_spread_mean_roll_mean_30,0.0004475859574967412
spread_mean_roll_std_15,0.0004438292472446542
ask_depth_mean_roll_min_15,0.00044332724940479557
relative_spread_mean_roll_max_30,0.0004302032773253556
mid_return_1m_roll_min_5,0.00042752650641667396
n_execution_lag_10,0.0004245731073247097
imbalance_5_mean_roll_mean_10,0.00042114054737429863
relative_spread_mean_lag_1,0.0004200958358609539
mid_return_1m_roll_max_15,0.00041815294918001137
imbalance_1_mean_lag_3,0.00039902517594830135
imbalance_10_mean_lag_15,0.0003915646803576036
n_execution_roll_max_5,0.00037928438796835473
ask_depth_mean_roll_min_10,0.0003772480045750218
n_partial_cancel_lag_2,0.00037594366841134483
event_size_total_roll_std_10,0.0003703114001356827
n_full_deletion_lag_30,0.0003677377922624344
mid_open_roll_mean_15,0.00036479289027346217
event_count_lag_5,0.00036335634269156654
spread_max,0.0003626763492216536
mid_mean_roll_min_30,0.000359874240842744
spread_std_roll_std_3,0.0003598730934806278
imbalance_1_mean_roll_min_10,0.0003549193981380642
relative_spread_mean_roll_min_10,0.00034559532738475106
bid_depth_mean_roll_mean_10,0.00034532531348927475
ofi_mean_lag_5,0.0003426525720242575
n_new_order_lag_5,0.0003351145803549619
imbalance_3_mean_roll_max_5,0.0003322039938769269
ofi_std_roll_std_10,0.00032682698760568354
n_partial_cancel_roll_std_30,0.00032637873099968884
imbalance_5_mean_roll_mean_15,0.0003232552362066737
mid_mean_roll_max_10,0.0003226093228424312
mid_log_return_1m_roll_max_5,0.0003223976066072164
imbalance_1_mean_roll_min_3,0.00032088214276690586
execution_ratio_lag_10,0.00032058725683434345
ofi_sum,0.0003196463234954988
ask_depth_mean_lag_1,0.0003157350668016581
n_execution_lag_2,0.0003151154158270286
spread_std_roll_max_10,0.00031261459203669355
n_execution_roll_mean_15,0.00030973144831322595
trade_volume_roll_min_5,0.00030734517987990084
mid_mean_lag_5,0.00030705782687429545
imbalance_5_mean_lag_30,0.0003006177842354946
mid_return_1m_roll_mean_5,0.00030026551394956154
trade_volume_roll_mean_3,0.00029909531219098447
n_full_deletion_roll_std_15,0.0002910367087776185
event_count_roll_min_10,0.00029072394415861517
ask_depth_mean_lag_5,0.0002875235517146732
depth_imbalance_roll_max_15,0.000287320067358373
event_size_total_roll_min_3,0.00028549915957632463
ofi_mean_roll_std_5,0.00028209468741693467
imbalance_10_mean_roll_std_10,0.0002773217956594432
n_execution_roll_mean_30,0.0002685936827868749
mid_return_1m_roll_mean_15,0.0002649353567551738
n_full_deletion_roll_min_3,0.00026165739893311825
ofi_mean_roll_min_15,0.0002605433894067777
spread_mean_roll_min_30,0.0002567984490191339
mid_return_1m_lag_30,0.0002539972312840105
n_full_deletion_lag_3,0.00024742456748930327
imbalance_1_mean_roll_max_10,0.00024055416120087188
mid_open_roll_min_30,0.00024026898149404527
ofi_mean_roll_std_10,0.00024004378432803295
mid_close_roll_max_30,0.0002294771044295428
spread_max_roll_mean_30,0.00022383950684858901
imbalance_3_mean_roll_min_10,0.00021347981674637575
relative_spread_mean_roll_min_15,0.00021172100687546965
price_change_lag_30,0.00020732758999271803
ofi_std_roll_min_3,0.0001957915577742753
imbalance_5_mean_lag_10,0.00018371254893267071
relative_spread_mean_roll_std_15,0.0001827273636256556
ask_depth_mean_roll_mean_15,0.0001774941644951455
spread_std_roll_mean_10,0.0001756002736381285
n_execution_lag_3,0.00017527865816032814
ask_depth_mean_roll_min_30,0.00017302467491377583
relative_spread_mean_lag_5,0.00017045206963268279
imbalance_5_mean_roll_max_15,0.0001702910183949079
execution_ratio_roll_min_15,0.00016736447817812392
event_count_roll_max_5,0.00016610228518486572
execution_ratio_roll_min_10,0.00016257500045767956
ofi_sum_roll_std_5,0.0001548261782756114
n_new_order_lag_30,0.00014102370022135244
imbalance_5_mean_roll_min_5,0.0001351047428008533
price_change_roll_min_15,0.00013099862676953702
ofi_mean_roll_min_10,0.00012819831214639217
mid_open_roll_max_3,0.00011285281967482859
ofi_sum_roll_std_10,0.00011150488096763209
mid_close_roll_std_5,0.00010890540341725902
price_change_roll_min_30,0.00010786139200099392
spread_mean_lag_30,0.00010633310886164778
price_change_lag_10,8.896689442575224e-05
mid_return_1m_roll_max_5,8.86065945215991e-05
mid_log_return_1m_lag_15,8.81809162080588e-05
n_full_deletion_roll_min_30,8.745704543154233e-05
mid_return_1m_roll_min_15,8.109051622454346e-05
spread_max_roll_std_15,7.372059505006843e-05
price_change_roll_mean_3,7.05332418379217e-05
spread_max_lag_1,4.955588158224017e-05
n_partial_cancel_lag_15,4.7392525112997576e-05
n_partial_cancel_roll_min_3,4.290883086156028e-05
depth_imbalance_lag_10,3.878998379884071e-05
spread_max_lag_30,3.745064225181306e-05
mid_log_return_1m_roll_max_30,2.741883168022978e-05
mid_open_lag_10,2.5641491795431717e-05
trade_volume_roll_max_30,1.8283875479437177e-05
n_full_deletion_roll_mean_15,6.801454248902091e-06
spread_mean_lag_3,0.0
spread_mean_lag_2,0.0
price_change_roll_max_10,0.0
price_change_roll_mean_30,0.0
spread_std_roll_std_5,0.0
spread_std_lag_3,0.0
n_execution_roll_min_5,0.0
spread_std_lag_2,0.0
spread_mean_roll_max_30,0.0
price_change_roll_max_30,0.0
spread_mean_lag_15,0.0
spread_mean_roll_mean_30,0.0
n_execution_roll_min_10,0.0
n_execution_roll_min_30,0.0
n_execution_roll_std_30,0.0
spread_mean_roll_std_5,0.0
spread_mean_lag_1,0.0
execution_ratio_lag_2,0.0
spread_std_roll_min_5,0.0
spread_mean_roll_min_3,0.0
spread_mean_roll_mean_3,0.0
spread_mean_roll_mean_15,0.0
spread_std_roll_min_15,0.0
n_execution_roll_min_3,0.0
spread_std_roll_min_10,0.0
n_full_deletion_lag_15,0.0
spread_max_roll_max_15,0.0
spread_max_roll_min_15,0.0
n_full_deletion_roll_std_3,0.0
spread_max_roll_max_10,0.0
spread_max_roll_min_10,0.0
spread_max_roll_max_5,0.0
spread_max_roll_min_5,0.0
spread_max_roll_mean_5,0.0
n_full_deletion_roll_mean_10,0.0
spread_max_roll_max_3,0.0
n_full_deletion_roll_min_10,0.0
n_full_deletion_roll_max_10,0.0
spread_max_roll_min_3,0.0
n_full_deletion_roll_min_15,0.0
n_full_deletion_roll_max_15,0.0
n_full_deletion_roll_mean_30,0.0
spread_max_roll_std_3,0.0
n_full_deletion_roll_max_30,0.0
spread_max_roll_mean_3,0.0
spread_max_lag_5,0.0
spread_max_lag_2,0.0
execution_ratio_roll_min_3,0.0
n_execution_lag_30,0.0
spread_std_roll_mean_15,0.0
price_change_roll_std_5,0.0
price_change_roll_std_3,0.0
price_change_roll_mean_5,0.0
mid_open_roll_std_3,0.0
mid_open_roll_max_30,0.0
mid_return_1m_roll_mean_30,0.0
mid_open_roll_mean_30,0.0
mid_open_roll_max_15,0.0
mid_return_1m_roll_max_30,0.0
mid_open_roll_min_10,0.0
mid_log_return_1m_lag_2,0.0
mid_log_return_1m_lag_3,0.0
mid_open_roll_mean_10,0.0
mid_log_return_1m_lag_10,0.0
mid_open_roll_max_5,0.0
mid_log_return_1m_roll_std_3,0.0
mid_open_roll_min_3,0.0
mid_log_return_1m_roll_mean_5,0.0
mid_close_lag_10,0.0
mid_open_lag_15,0.0
mid_log_return_1m_roll_min_5,0.0
mid_open_lag_5,0.0
mid_return_1m,0.0
n_new_order,0.0
mid_log_return_1m_roll_max_10,0.0
mid_log_return_1m_roll_mean_15,0.0
event_size_total,0.0
ofi_std,0.0
ofi_mean,0.0
mid_log_return_1m_roll_mean_30,0.0
price_change,0.0
mid_mean,0.0
mid_close_lag_3,0.0
mid_close_lag_30,0.0
price_change_roll_max_3,0.0
mid_mean_lag_10,0.0
execution_ratio_roll_std_5,0.0
execution_ratio_roll_min_5,0.0
relative_spread_mean_lag_2,0.0
price_change_lag_5,0.0
execution_ratio_roll_max_10,0.0
execution_ratio_roll_mean_15,0.0
execution_ratio_roll_std_15,0.0
mid_mean_roll_max_30,0.0
mid_mean_roll_min_15,0.0
mid_mean_roll_std_10,0.0
mid_mean_roll_mean_10,0.0
mid_mean_roll_max_5,0.0
mid_mean_lag_15,0.0
mid_return_1m_lag_2,0.0
mid_close_roll_mean_3,0.0
mid_return_1m_lag_3,0.0
mid_return_1m_lag_5,0.0
mid_return_1m_lag_10,0.0
mid_mean_lag_1,0.0
mid_close_roll_max_15,0.0
mid_return_1m_roll_mean_3,0.0
mid_return_1m_roll_std_3,0.0
mid_close_roll_min_15,0.0
mid_close_roll_max_10,0.0
mid_close_roll_min_5,0.0
mid_return_1m_roll_std_5,0.0
mid_close_roll_mean_5,0.0
mid_close_roll_min_3,0.0
spread_max_roll_min_30,0.0
ofi_std_roll_min_30,0.0
relative_spread_mean_roll_max_3,0.0
imbalance_5_mean_roll_max_5,0.0
imbalance_10_mean_roll_std_30,0.0
event_size_total_roll_max_3,0.0
imbalance_10_mean_roll_max_15,0.0
imbalance_10_mean_roll_min_15,0.0
imbalance_10_mean_roll_std_5,0.0
imbalance_10_mean_roll_max_3,0.0
imbalance_10_mean_roll_min_3,0.0
imbalance_10_mean_lag_5,0.0
event_size_total_roll_min_10,0.0
event_size_total_roll_max_10,0.0
imbalance_10_mean_lag_3,0.0
imbalance_5_mean_roll_min_30,0.0
event_size_total_roll_min_15,0.0
imbalance_5_mean_roll_min_10,0.0
event_size_total_roll_std_30,0.0
n_full_deletion_lag_2,0.0
event_size_total_roll_min_30,0.0
imbalance_5_mean_roll_mean_5,0.0
imbalance_5_mean_roll_max_3,0.0
imbalance_5_mean_roll_min_3,0.0
imbalance_5_mean_roll_mean_3,0.0
trade_volume_lag_5,0.0
imbalance_5_mean_lag_2,0.0
imbalance_3_mean_roll_min_30,0.0
imbalance_3_mean_roll_min_15,0.0
imbalance_3_mean_roll_max_10,0.0
imbalance_3_mean_roll_std_10,0.0
imbalance_3_mean_roll_min_5,0.0
imbalance_3_mean_roll_max_3,0.0
imbalance_3_mean_roll_min_3,0.0
event_size_total_roll_std_3,0.0
ofi_sum_roll_mean_5,0.0
event_size_total_lag_30,0.0
ofi_sum_roll_min_5,0.0
event_count_lag_2,0.0
event_count_lag_3,0.0
ofi_std_roll_mean_30,0.0
ofi_std_roll_max_15,0.0
ofi_std_roll_min_15,0.0
event_count_lag_30,0.0
ofi_std_roll_max_10,0.0
ofi_std_roll_mean_3,0.0
ofi_std_lag_5,0.0
ofi_std_lag_1,0.0
ofi_mean_roll_min_30,0.0
ofi_mean_roll_mean_30,0.0
event_count_roll_min_5,0.0
ofi_mean_roll_max_5,0.0
ofi_mean_roll_mean_5,0.0
ofi_mean_lag_15,0.0
event_count_roll_max_10,0.0
event_count_roll_mean_15,0.0
ofi_mean_lag_10,0.0
ofi_mean_lag_3,0.0
ofi_sum_roll_std_30,0.0
event_count_roll_mean_30,0.0
event_count_roll_std_30,0.0
ofi_sum_roll_mean_30,0.0
event_count_roll_max_30,0.0
ofi_sum_roll_mean_15,0.0
event_size_total_lag_3,0.0
event_size_total_lag_5,0.0
ofi_sum_roll_max_5,0.0
trade_volume_roll_std_5,0.0
imbalance_3_mean_roll_std_3,0.0
trade_volume_roll_max_5,0.0
bid_depth_mean_roll_min_30,0.0
bid_depth_mean_roll_mean_30,0.0
bid_depth_mean_roll_mean_15,0.0
n_new_order_roll_max_30,0.0
bid_depth_mean_roll_std_10,0.0
bid_depth_mean_roll_min_5,0.0
bid_depth_mean_roll_std_5,0.0
bid_depth_mean_roll_min_3,0.0
bid_depth_mean_roll_std_3,0.0
n_partial_cancel_lag_30,0.0
bid_depth_mean_roll_mean_3,0.0
bid_depth_mean_lag_30,0.0
bid_depth_mean_lag_10,0.0
n_partial_cancel_roll_mean_5,0.0
bid_depth_mean_lag_1,0.0
ask_depth_mean_roll_std_30,0.0
ask_depth_mean_roll_mean_30,0.0
ask_depth_mean_roll_std_15,0.0
ask_depth_mean_roll_std_10,0.0
ask_depth_mean_roll_max_5,0.0
ask_depth_mean_roll_std_5,0.0
n_partial_cancel_roll_mean_15,0.0
n_partial_cancel_roll_std_15,0.0
ask_depth_mean_lag_30,0.0
relative_spread_mean_roll_mean_15,0.0
relative_spread_mean_roll_mean_10,0.0
relative_spread_mean_roll_min_5,0.0
relative_spread_mean_roll_mean_5,0.0
event_count_lag_1,0.0
n_full_deletion_lag_1,0.0
bid_depth_mean_roll_std_30,0.0
bid_depth_mean_roll_max_30,0.0
imbalance_3_mean_lag_30,0.0
depth_imbalance_lag_30,0.0
imbalance_3_mean_lag_3,0.0
imbalance_3_mean_lag_2,0.0
imbalance_1_mean_roll_min_30,0.0
trade_volume_roll_mean_15,0.0
imbalance_1_mean_roll_mean_30,0.0
trade_volume_roll_min_15,0.0
imbalance_1_mean_roll_mean_10,0.0
imbalance_1_mean_roll_min_5,0.0
imbalance_1_mean_roll_std_5,0.0
trade_volume_roll_min_30,0.0
imbalance_1_mean_roll_max_3,0.0
n_new_order_lag_2,0.0
imbalance_1_mean_roll_mean_3,0.0
imbalance_1_mean_lag_30,0.0
n_new_order_lag_10,0.0
imbalance_1_mean_lag_10,0.0
imbalance_1_mean_lag_5,0.0
depth_imbalance_roll_mean_30,0.0
depth_imbalance_roll_mean_15,0.0
depth_imbalance_roll_min_10,0.0
n_new_order_roll_max_3,0.0
depth_imbalance_roll_std_10,0.0
n_new_order_roll_std_5,0.0
depth_imbalance_roll_std_5,0.0
depth_imbalance_roll_mean_5,0.0
depth_imbalance_roll_max_3,0.0
n_new_order_roll_std_10,0.0
n_new_order_roll_min_10,0.0
n_new_order_roll_max_10,0.0
n_partial_cancel_roll_max_30,0.0
